# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;10A38;10A3A;EXTEND
W;10A3F;10A3F;EXTEND
W;10A60;10A7C;ALETTER
W;10A80;10A9C;ALETTER
W;10AC0;10AC7;ALETTER
W;10AC9;10AE4;ALETTER
W;10AE5;10AE6;EXTEND
W;10B00;10B35;ALETTER
W;10B40;10B55;ALETTER
W;10B60;10B72;ALETTER
W;10B80;10B91;ALETTER
W;10C00;10C48;ALETTER
W;10C80;10CB2;ALETTER
W;10CC0;10CF2;ALETTER
W;10D00;10D23;ALETTER
W;10D24;10D27;EXTEND
W;10D30;10D39;NUMERIC
W;10D40;10D49;NUMERIC
W;10D4A;10D65;ALETTER
W;10D69;10D6D;EXTEND
W;10D6F;10D85;ALETTER
W;10E80;10EA9;ALETTER
W;10EAB;10EAC;EXTEND
W;10EB0;10EB1;ALETTER
W;10EC2;10EC4;ALETTER
W;10EFC;10EFF;EXTEND
W;10F00;10F1C;ALETTER
W;10F27;10F27;ALETTER
W;10F30;10F45;ALETTER
W;10F46;10F50;EXTEND
W;10F70;10F81;ALETTER
W;10F82;10F85;EXTEND
W;10FB0;10FC4;ALETTER
W;10FE0;10FF6;ALETTER
W;11000;11002;EXTEND
W;11003;11037;ALETTER
W;11038;11046;EXTEND
W;11066;1106F;NUMERIC
W;11070;11070;EXTEND
W;11071;11072;ALETTER
W;11073;11074;EXTEND
W;11075;11075;ALETTER
W;1107F;11082;EXTEND
W;11083;110AF;ALETTER
W;110B0;110BA;EXTEND
W;110BD;110BD;NUMERIC
W;110C2;110C2;EXTEND
W;110CD;110CD;NUMERIC
W;110D0;110E8;ALETTER
W;110F0;110F9;NUMERIC
W;11100;11102;EXTEND
W;11103;11126;ALETTER
W;11127;11134;EXTEND
W;11136;1113F;NUMERIC
W;11144;11144;ALETTER
W;11145;11146;EXTEND
W;11147;11147;ALETTER
W;11150;11172;ALETTER
W;11173;11173;EXTEND
W;11176;11176;ALETTER
W;11180;11182;EXTEND
W;11183;111B2;ALETTER
W;111B3;111C0;EXTEND
W;111C1;111C4;ALETTER
W;111C9;111CC;EXTEND
W;111CE;111CF;EXTEND
W;111D0;111D9;NUMERIC
W;111DA;111DA;ALETTER
W;111DC;111DC;ALETTER
W;11200;11211;ALETTER
W;11213;1122B;ALETTER
W;1122C;11237;EXTEND
W;1123E;1123E;EXTEND
W;1123F;11240;ALETTER
W;11241;11241;EXTEND
W;11280;11286;ALETTER
W;11288;11288;ALETTER
W;1128A;1128D;ALETTER
W;1128F;1129D;ALETTER
W;1129F;112A8;ALETTER
W;112B0;112DE;ALETTER
W;112DF;112EA;EXTEND
W;112F0;112F9;NUMERIC
W;11300;11303;EXTEND
W;11305;1130C;ALETTER
W;1130F;11310;ALETTER
W;11313;11328;ALETTER
W;1132A;11330;ALETTER
W;11332;11333;ALETTER
W;11335;11339;ALETTER
W;1133B;1133C;EXTEND
W;1133D;1133D;ALETTER
W;1133E;11344;EXTEND
W;11347;11348;EXTEND
W;1134B;1134D;EXTEND
W;11350;11350;ALETTER
W;11357;11357;EXTEND
W;1135D;11361;ALETTER
W;11362;11363;EXTEND
W;11366;1136C;EXTEND
W;11370;11374;EXTEND
W;11380;11389;ALETTER
W;1138B;1138B;ALETTER
W;1138E;1138E;ALETTER
W;11390;113B5;ALETTER
W;113B7;113B7;ALETTER
W;113B8;113C0;EXTEND
W;113C2;113C2;EXTEND
W;113C5;113C5;EXTEND
W;113C7;113CA;EXTEND
W;113CC;113D0;EXTEND
W;113D1;113D1;ALETTER
W;113D2;113D2;EXTEND
W;113D3;113D3;ALETTER
W;113E1;113E2;EXTEND
W;11400;11434;ALETTER
W;11435;11446;EXTEND
W;11447;1144A;ALETTER
W;11450;11459;NUMERIC
W;1145E;1145E;EXTEND
W;1145F;11461;ALETTER
W;11480;114AF;ALETTER
W;114B0;114C3;EXTEND
W;114C4;114C5;ALETTER
W;114C7;114C7;ALETTER
W;114D0;114D9;NUMERIC
W;11580;115AE;ALETTER
W;115AF;115B5;EXTEND
W;115B8;115C0;EXTEND
W;115D8;115DB;ALETTER
W;115DC;115DD;EXTEND
W;11600;1162F;ALETTER
W;11630;11640;EXTEND
W;11644;11644;ALETTER
W;11650;11659;NUMERIC
W;11680;116AA;ALETTER
W;116AB;116B7;EXTEND
W;116B8;116B8;ALETTER
W;116C0;116C9;NUMERIC
W;116D0;116E3;NUMERIC
W;1171D;1172B;EXTEND
W;11730;11739;NUMERIC
W;11800;1182B;ALETTER
W;1182C;1183A;EXTEND
W;118A0;118DF;ALETTER
W;118E0;118E9;NUMERIC
W;118FF;11906;ALETTER
W;11909;11909;ALETTER
W;1190C;11913;ALETTER
W;11915;11916;ALETTER
W;11918;1192F;ALETTER
W;11930;11935;EXTEND
W;11937;11938;EXTEND
W;1193B;1193E;EXTEND
W;1193F;1193F;ALETTER
W;11940;11940;EXTEND
