# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;BC84;BC84;LV
G;BC85;BC9F;LVT
G;BCA0;BCA0;LV
G;BCA1;BCBB;LVT
G;BCBC;BCBC;LV
G;BCBD;BCD7;LVT
G;BCD8;BCD8;LV
G;BCD9;BCF3;LVT
G;BCF4;BCF4;LV
G;BCF5;BD0F;LVT
G;BD10;BD10;LV
G;BD11;BD2B;LVT
G;BD2C;BD2C;LV
G;BD2D;BD47;LVT
G;BD48;BD48;LV
G;BD49;BD63;LVT
G;BD64;BD64;LV
G;BD65;BD7F;LVT
G;BD80;BD80;LV
G;BD81;BD9B;LVT
G;BD9C;BD9C;LV
G;BD9D;BDB7;LVT
G;BDB8;BDB8;LV
G;BDB9;BDD3;LVT
G;BDD4;BDD4;LV
G;BDD5;BDEF;LVT
G;BDF0;BDF0;LV
G;BDF1;BE0B;LVT
G;BE0C;BE0C;LV
G;BE0D;BE27;LVT
G;BE28;BE28;LV
G;BE29;BE43;LVT
G;BE44;BE44;LV
G;BE45;BE5F;LVT
G;BE60;BE60;LV
G;BE61;BE7B;LVT
G;BE7C;BE7C;LV
G;BE7D;BE97;LVT
G;BE98;BE98;LV
G;BE99;BEB3;LVT
G;BEB4;BEB4;LV
G;BEB5;BECF;LVT
G;BED0;BED0;LV
G;BED1;BEEB;LVT
G;BEEC;BEEC;LV
G;BEED;BF07;LVT
G;BF08;BF08;LV
G;BF09;BF23;LVT
G;BF24;BF24;LV
G;BF25;BF3F;LVT
G;BF40;BF40;LV
G;BF41;BF5B;LVT
G;BF5C;BF5C;LV
G;BF5D;BF77;LVT
G;BF78;BF78;LV
G;BF79;BF93;LVT
G;BF94;BF94;LV
G;BF95;BFAF;LVT
G;BFB0;BFB0;LV
G;BFB1;BFCB;LVT
G;BFCC;BFCC;LV
G;BFCD;BFE7;LVT
G;BFE8;BFE8;LV
G;BFE9;C003;LVT
G;C004;C004;LV
G;C005;C01F;LVT
G;C020;C020;LV
G;C021;C03B;LVT
G;C03C;C03C;LV
G;C03D;C057;LVT
G;C058;C058;LV
G;C059;C073;LVT
G;C074;C074;LV
G;C075;C08F;LVT
G;C090;C090;LV
G;C091;C0AB;LVT
G;C0AC;C0AC;LV
G;C0AD;C0C7;LVT
G;C0C8;C0C8;LV
G;C0C9;C0E3;LVT
G;C0E4;C0E4;LV
G;C0E5;C0FF;LVT
G;C100;C100;LV
G;C101;C11B;LVT
G;C11C;C11C;LV
G;C11D;C137;LVT
G;C138;C138;LV
G;C139;C153;LVT
G;C154;C154;LV
G;C155;C16F;LVT
G;C170;C170;LV
G;C171;C18B;LVT
G;C18C;C18C;LV
G;C18D;C1A7;LVT
G;C1A8;C1A8;LV
G;C1A9;C1C3;LVT
G;C1C4;C1C4;LV
G;C1C5;C1DF;LVT
G;C1E0;C1E0;LV
G;C1E1;C1FB;LVT
G;C1FC;C1FC;LV
G;C1FD;C217;LVT
G;C218;C218;LV
G;C219;C233;LVT
G;C234;C234;LV
G;C235;C24F;LVT
G;C250;C250;LV
G;C251;C26B;LVT
G;C26C;C26C;LV
G;C26D;C287;LVT
G;C288;C288;LV
G;C289;C2A3;LVT
G;C2A4;C2A4;LV
G;C2A5;C2BF;LVT
G;C2C0;C2C0;LV
G;C2C1;C2DB;LVT
G;C2DC;C2DC;LV
G;C2DD;C2F7;LVT
G;C2F8;C2F8;LV
G;C2F9;C313;LVT
G;C314;C314;LV
G;C315;C32F;LVT
G;C330;C330;LV
G;C331;C34B;LVT
G;C34C;C34C;LV
G;C34D;C367;LVT
G;C368;C368;LV
G;C369;C383;LVT
G;C384;C384;LV
G;C385;C39F;LVT
G;C3A0;C3A0;LV
G;C3A1;C3BB;LVT
G;C3BC;C3BC;LV
G;C3BD;C3D7;LVT
G;C3D8;C3D8;LV
G;C3D9;C3F3;LVT
G;C3F4;C3F4;LV
G;C3F5;C40F;LVT
G;C410;C410;LV
G;C411;C42B;LVT
G;C42C;C42C;LV
G;C42D;C447;LVT
G;C448;C448;LV
G;C449;C463;LVT
G;C464;C464;LV
G;C465;C47F;LVT
G;C480;C480;LV
G;C481;C49B;LVT
G;C49C;C49C;LV
G;C49D;C4B7;LVT
G;C4B8;C4B8;LV
G;C4B9;C4D3;LVT
G;C4D4;C4D4;LV
G;C4D5;C4EF;LVT
G;C4F0;C4F0;LV
G;C4F1;C50B;LVT
G;C50C;C50C;LV
G;C50D;C527;LVT
G;C528;C528;LV
G;C529;C543;LVT
G;C544;C544;LV
G;C545;C55F;LVT
G;C560;C560;LV
G;C561;C57B;LVT
G;C57C;C57C;LV
G;C57D;C597;LVT
G;C598;C598;LV
G;C599;C5B3;LVT
G;C5B4;C5B4;LV
G;C5B5;C5CF;LVT
G;C5D0;C5D0;LV
G;C5D1;C5EB;LVT
G;C5EC;C5EC;LV
G;C5ED;C607;LVT
G;C608;C608;LV
G;C609;C623;LVT
G;C624;C624;LV
G;C625;C63F;LVT
G;C640;C640;LV
G;C641;C65B;LVT
G;C65C;C65C;LV
G;C65D;C677;LVT
G;C678;C678;LV
G;C679;C693;LVT
G;C694;C694;LV
G;C695;C6AF;LVT
G;C6B0;C6B0;LV
G;C6B1;C6CB;LVT
G;C6CC;C6CC;LV
G;C6CD;C6E7;LVT
G;C6E8;C6E8;LV
G;C6E9;C703;LVT
G;C704;C704;LV
G;C705;C71F;LVT
G;C720;C720;LV
G;C721;C73B;LVT
G;C73C;C73C;LV
G;C73D;C757;LVT
G;C758;C758;LV
G;C759;C773;LVT
G;C774;C774;LV
G;C775;C78F;LVT
G;C790;C790;LV
G;C791;C7AB;LVT
G;C7AC;C7AC;LV
G;C7AD;C7C7;LVT
G;C7C8;C7C8;LV
G;C7C9;C7E3;LVT
G;C7E4;C7E4;LV
G;C7E5;C7FF;LVT
G;C800;C800;LV
G;C801;C81B;LVT
G;C81C;C81C;LV
G;C81D;C837;LVT
G;C838;C838;LV
G;C839;C853;LVT
G;C854;C854;LV
G;C855;C86F;LVT
G;C870;C870;LV
G;C871;C88B;LVT
G;C88C;C88C;LV
G;C88D;C8A7;LVT
G;C8A8;C8A8;LV
G;C8A9;C8C3;LVT
G;C8C4;C8C4;LV
G;C8C5;C8DF;LVT
G;C8E0;C8E0;LV
G;C8E1;C8FB;LVT
G;C8FC;C8FC;LV
G;C8FD;C917;LVT
G;C918;C918;LV
G;C919;C933;LVT
G;C934;C934;LV
G;C935;C94F;LVT
G;C950;C950;LV
G;C951;C96B;LVT
G;C96C;C96C;LV
G;C96D;C987;LVT
G;C988;C988;LV
G;C989;C9A3;LVT
G;C9A4;C9A4;LV
G;C9A5;C9BF;LVT
G;C9C0;C9C0;LV
G;C9C1;C9DB;LVT
G;C9DC;C9DC;LV
G;C9DD;C9F7;LVT
G;C9F8;C9F8;LV
G;C9F9;CA13;LVT
G;CA14;CA14;LV
G;CA15;CA2F;LVT
G;CA30;CA30;LV
G;CA31;CA4B;LVT
G;CA4C;CA4C;LV
G;CA4D;CA67;LVT
G;CA68;CA68;LV
G;CA69;CA83;LVT
G;CA84;CA84;LV
G;CA85;CA9F;LVT
G;CAA0;CAA0;LV
G;CAA1;CABB;LVT
G;CABC;CABC;LV
G;CABD;CAD7;LVT
G;CAD8;CAD8;LV
G;CAD9;CAF3;LVT
G;CAF4;CAF4;LV
G;CAF5;CB0F;LVT
G;CB10;CB10;LV
G;CB11;CB2B;LVT
G;CB2C;CB2C;LV
G;CB2D;CB47;LVT
G;CB48;CB48;LV
G;CB49;CB63;LVT
G;CB64;CB64;LV
G;CB65;CB7F;LVT
G;CB80;CB80;LV
G;CB81;CB9B;LVT
G;CB9C;CB9C;LV
